taxon,taxon_group,name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank,normalized_name
Dendrospyris haysi,radiolarians,,,,,
Coscinodiscus apiculatus,diatoms,,387025.0,Coscinodiscus apiculatus,species,
Globigerinoides triloculinoides,planktic foraminfera,,,,,
Truncorotaloides mckannai,planktic foraminfera,,,,,
Vallacerta hortonii,silicoflagellates,,,,,
Lychnocanoma carinatum,radiolarians,,,,,
Navicula sudora,diatoms,,,,,
Fibrocysta bipolare,dinoflagellates,,,,,
Octactis pulchra,silicoflagellates,,,,,
Pyxilla caputavis,diatoms,,,,,
Dendrospyris anthocyrtoides,radiolarians,,,,,
Globoquadrina dutertrei,planktic foraminfera,,,,,
Botryostrobus praetumidulus,radiolarians,,,,,
Orbula ducalis,radiolarians,,,,,
Quadratobuliminella sp.,benthic foraminifera,,2340.0,Quadratobuliminella,genus,
Odontella sp.,diatoms,,387067.0,Odontella,genus,
Bolivina interjuncta,benthic foraminifera,,,,,
Thalassiosira excentrica fasiculatus,diatoms,,,,,
Scriniodinium australiense,dinoflagellates,,,,,
Coscinodiscus bullatus,diatoms,,,,,
Martinitiella variabilis,benthic foraminifera,,,,,
Thyrsocyrtis hirsuta tensa,radiolarians,,152672.0,Thyrsocyrtis hirsuta tensa,subspecies,
Hemiaulus polycystinorum polycystinorum,diatoms,,,,,
Sphaeroidinellopsis grimsdalei,planktic foraminfera,,,,,
Oolina apiculata,benthic foraminifera,,354870.0,Oolina apiculata,species,
Heliolithus conicus,nannofossils,,,,,
Gyroidinoides jarvisi,benthic foraminifera,,,,,
Pyrgupyxis eocena,diatoms,,,,,
Gavelinella micra,benthic foraminifera,,,,,
Stichomitra compsa,radiolarians,,,,,
Chiasmolithus sp.,nannofossils,,424051.0,Chiasmolithus,genus,
Anomalina capita,benthic foraminifera,,,,,
Gavelinella beccariiformis,benthic foraminifera,,,,,
Melonis zaandami,benthic foraminifera,,,,,
Cestodiscus pulchellus maculatus,diatoms,,,,,
Podorhabdus dietzmannii,nannofossils,,,,,
Distephanus stauracanthus stauracanthus,silicoflagellates,,,,,
Dendrospyris binapertonis,radiolarians,,,,,
Nitzschia invisa,diatoms,,,,,
Cibicides constrictus,benthic foraminifera,,,,,
Rectuvigerina postprandia,benthic foraminifera,,,,,
Nothofagidites brassi,pollen,,,,,
Bachmannocena apiculata apiculata,silicoflagellates,,,,,
Distephanus xenus,silicoflagellates,,,,,
Spongodiscus ambus,radiolarians,,,,,
Distephanus quintus,silicoflagellates,,,,,
Triceratium occultum,diatoms,,,,,
Stilostomella plummerae,benthic foraminifera,,,,,
Pleurostomella incrassata,benthic foraminifera,,,,,
Solenosphaera omnitubus procera,radiolarians,,,,,
Micrantholithus inaequalis,nannofossils,,,,,
Acarinina pentacamerata pentacamerata,planktic foraminfera,,,,,
Globorotaloides testarugosus,planktic foraminfera,,,,,
Acarinina abundocamerata,planktic foraminfera,,,,,
Spiroclypeus vermicularis,benthic foraminifera,,393207.0,Spiroclypeus vermicularis,species,
Tuberculodinium vancampoae,dinoflagellates,,264668.0,Tuberculodinium vancampoae,species,
Boldia sp.,benthic foraminifera,,994.0,Boldia,genus,
Zygolithus junctus,nannofossils,,,,,
Globigerinatheka mexicana barri,planktic foraminfera,,,,,
Bulimina spinata,benthic foraminifera,,,,,
Bergonia angelica,diatoms,,,,,
Subbotina varianta,planktic foraminfera,,,,,
Pseudopodosira elegans,diatoms,,,,,
Coscinodiscus tuberculatus,diatoms,,,,,
Cyathidites australis,pollen,,252473.0,Cyathidites australis,species,
Bolivina bicostata,benthic foraminifera,,,,,
Discoaster decorus,nannofossils,,,,,
Subbotina triloculinoides triangularis,planktic foraminfera,,,,,
Allomorphinella sp.(q),benthic foraminifera,,,,,
Nonion barleeanum,benthic foraminifera,,,,,
Globigerina prasaepis,planktic foraminfera,,,,,
Navicula jamalinensis simisevultus,diatoms,,,,,
Pulleniatina sp.,planktic foraminfera,,2325.0,Pulleniatina,genus,
Bulimina tenuata,benthic foraminifera,,,,,
Marginulina glabra,benthic foraminifera,,385982.0,Marginulina glabra,species,
Gephyrocapsa producta,nannofossils,,,,,
Bolivina plicata,benthic foraminifera,,,,,
Globorotalia truncatulinoides pachytheca,planktic foraminfera,,,,,
Huttonia punctata,diatoms,,,,,
Spirocyrtis subscalaris,radiolarians,,,,,
Textularia laxata,benthic foraminifera,,,,,
Distephanus crux hannai,silicoflagellates,,,,,
Tricolpites sp.,pollen,,250528.0,Tricolpites,genus,
Eponides subcandidulus,benthic foraminifera,,,,,
Discolithina anisotrema,nannofossils,,,,,
Spongosphaera pachystyla,radiolarians,,152640.0,Spongosphaera pachystyla,species,
Globigerinita unicava unicava,planktic foraminfera,,,,,
Gyroidinoides quadratus,benthic foraminifera,,,,,
Ellipsonodosaria decurta,benthic foraminifera,,,,,
Nodosaria skobrina,benthic foraminifera,,,,,
Thalassiosira angusta-lineata,diatoms,,,,,
Asteromphalus praemarylandicus,diatoms,,,,,
Apectodinium hypercanthum,dinoflagellates,,,,,
Lampterium goetheana,radiolarians,,,,,
Globotruncana elevata stuartiformis,planktic foraminfera,,,,,
Transversopontis sp.,nannofossils,,,,,
Lamprotripus mawsoni,radiolarians,,,,,
Cancris auriculatus primitivus,benthic foraminifera,,,,,
Globorotalia hispidicidaris,planktic foraminfera,,,,,
Theocorythium sp.(q),radiolarians,,,,,
Micrhystridium bifurcatum,dinoflagellates,,,,,
Petalospyris confluens,radiolarians,,,,,
Circospyris ellipticus,radiolarians,,,,,
Coscinodiscus sp.,diatoms,,71292.0,Coscinodiscus,genus,
Clavicula polymorpha,diatoms,,,,,
Truncorotaloides collacteus,planktic foraminfera,,,,,
Globorotalia crassaformis s. l.,planktic foraminfera,,,,,
Lithocampe heptacola,radiolarians,,,,,
Subbotina pera,planktic foraminfera,,,,,
Dictyocha fibula speculum,silicoflagellates,,,,,
Naviculopsis navicula,silicoflagellates,,,,,
Orbula discipulus,radiolarians,,,,,
Globigerinoides praefistulosus,planktic foraminfera,,,,,
Helicosphaera truncata,nannofossils,,,,,
Coscinodiscus curvatulus minor,diatoms,,,,,
Gladius maximus,diatoms,,,,,
Deflandrea acuminata,dinoflagellates,,325721.0,Deflandrea acuminata,species,
Coscinodiscus sp.(q),diatoms,,,,,
Turborotalia tosaensis,planktic foraminfera,,,,,
Nothofagidites flemingii,pollen,,252679.0,Nothofagidites flemingii,species,
Dendrospyris turriturcica dasyotus,radiolarians,,,,,
Symphonia sp.,pollen,,,,,
Odontotropis carinata,diatoms,,,,,
Thalassiosira buckryi,diatoms,,,,,
Campyloneis grevillei,diatoms,,,,,
Ammodochium speciosum,ebridians,,,,,
Platycarya sp.,pollen,,55290.0,Platycarya,genus,
Lenticulina acuta,benthic foraminifera,,,,,
Lagena setigera,benthic foraminifera,,,,,
Amphora ovalis,diatoms,,,,,
Coscinodiscus normannii,diatoms,,,,,
Nitzschia dietrichii,diatoms,,,,,
Clobocassidulina arata,benthic foraminifera,,,,,
Globoquadrina humerosa acostaensis,planktic foraminfera,,,,,
Globorotalia pseudoscitula,planktic foraminfera,,,,,
Globorotalia crater crater,planktic foraminfera,,,,,
Helotholus praevema,radiolarians,,,,,
Eucommia,pollen,,,,,
Triceratium cruciformis,diatoms,,,,,
Coscinodiscus moelleri,diatoms,,,,,
Dentalina subcostata,benthic foraminifera,,,,,
Neogloboquadrina numerosa,planktic foraminfera,,,,,
Globigerina corpulenta,planktic foraminfera,,,,,
Globorotalia cultrata limbata,planktic foraminfera,,,,,
Karreriella alticamera,benthic foraminifera,,,,,
Bogorovia tatsunokuchiensis,diatoms,,,,,
Operculodinium walli,dinoflagellates,,,,,
Diploneis papula,diatoms,,,,,
Bulimina beaumonti,benthic foraminifera,,,,,
Globigerinoides tyrrhenicus,planktic foraminfera,,,,,
Plectofrondicularia miocenica,benthic foraminifera,,354842.0,Plectofrondicularia miocenica,species,
Coccolithus doronocoides,nannofossils,,,,,
Discoaster helianthus,nannofossils,,,,,
Haliometta sp.,radiolarians,,,,,
Botryocella sp.,radiolarians,,437.0,Botryocella,genus,
Melosira praeislandica,diatoms,,,,,
Reophax sabulosa,benthic foraminifera,,,,,
Thalassionema plicata,diatoms,,,,,
Globigerinita glutinata glutinata,planktic foraminfera,,,,,
Nummulites variolarius,benthic foraminifera,,,,,
Brizalina finlayi,benthic foraminifera,,,,,
Cyclococcolithus macintyrei,nannofossils,,255451.0,Cyclococcolithus macintyrei,species,
Robulus occidentalis,benthic foraminifera,,,,,
Trachoelphidiella uniforamina,benthic foraminifera,,,,,
Dictyocha fibula formicata,silicoflagellates,,,,,
Spongotrochus multispinus,radiolarians,,,,,
Sigmoilina tenuis,benthic foraminifera,,,,,
Coscinodiscus asteromphalus princeps,diatoms,,,,,
Globocassidulina rossensis,benthic foraminifera,,,,,
Distephanus heptacanthus,silicoflagellates,,,,,
Prunobrachium kennetti,radiolarians,,166534.0,Prunobrachium kennetti,species,
Bulimina asperoculeata,benthic foraminifera,,,,,
Globigerinoides quadrilobatus quadrilobatus,planktic foraminfera,,,,,
Cassidulina yabei,benthic foraminifera,,,,,
Stephanodiscus niagarae,diatoms,,351523.0,Stephanodiscus niagarae,species,
Uvigerina gallowayi,benthic foraminifera,,354883.0,Uvigerina gallowayi,species,
Amphora proteus,diatoms,,,,,
Amphora coffeaeformis,diatoms,,,,,
Bachmannocena apiculata monolineata,silicoflagellates,,,,,
Tessarastrum straussii,radiolarians,,,,,
Planulina marialana gigas,benthic foraminifera,,,,,
Actinozygus regularis,nannofossils,,,,,
Calocyclas disparidens,radiolarians,,,,,
Eggerella trochoidea,benthic foraminifera,,,,,
Distephanus crux longispina,silicoflagellates,,,,,
Turborotalia nigriniae,planktic foraminfera,,,,,
Francesita advena,benthic foraminifera,,,,,
Cladoscenium advena,radiolarians,,,,,
Cyclammina complanata,benthic foraminifera,,,,,
Globorotalia pseudotopilensis,planktic foraminfera,,,,,
Gephyrocapsa ericsonia,nannofossils,,,,,
Calcidiscus gammation,nannofossils,,,,,
Parhabdolithus splendens,nannofossils,,,,,
Marssonella subtrochus,benthic foraminifera,,,,,
Bolivina peirsonae,benthic foraminifera,,,,,
Pterocyrtidium barbadense,radiolarians,,,,,
Cussia mediopunctata,diatoms,,,,,
Skeletonema punctatum,diatoms,,,,,
Helicosphaera wilcoxinii,nannofossils,,,,,
Triceratium gracillium,diatoms,,,,,
Aiora fenestrata,dinoflagellates,,336716.0,Aiora fenestrata,species,
Phormostichoartus protomorphius,radiolarians,,,,,
Ericsonia cava,nannofossils,,,,,
Fissurina staphylleraria,benthic foraminifera,,,,,
Mortoniodendron sp.,pollen,,,,,
Triblastula borussica,dinoflagellates,,,,,
Actinoptychus wittii,diatoms,,,,,
Globigerinoides trilobuus,planktic foraminfera,,,,,
Actinoptychus minutus,diatoms,,,,,
Cymatopleura elliptica,diatoms,,,,,
Hermesonella fenestrata,ebridians,,,,,
Stylacontarium bispiculum,radiolarians,,,,,
Lophophaenoma polycyrtis,radiolarians,,,,,
Echinomma antarctica,radiolarians,,,,,
Cyclotella stylorum,diatoms,,,,,
Stylatractus fragilis,radiolarians,,,,,
Theocyrtis sp.,radiolarians,,681.0,Theocyrtis,genus,
Sceptroneis pesplanus,diatoms,,,,,
Bolivina advena,benthic foraminifera,,,,,
Acarinina apanthesma,planktic foraminfera,,,,,
Phaseliforma laxa,radiolarians,,166525.0,Phaseliforma laxa,species,
Ebria mediterranensis,ebridians,,,,,
Pontosphaera anisotrema,nannofossils,,,,,
Globigerina taroubaensis,planktic foraminfera,,,,,
Coccolithus magnicrassus,nannofossils,,,,,
Theopera pyramis,radiolarians,,,,,
Globigerina senilis,planktic foraminfera,,,,,
Platycystidia,dinoflagellates,,336767.0,Platycystidia,genus,
Ellipsoidella pleurostomelloides,benthic foraminifera,,,,,
Thalassiosira regulata,diatoms,,,,,
Operculina subformal,benthic foraminifera,,,,,
Nonionellina labradica,benthic foraminifera,,,,,
Distephanus boliviensis frugalis,silicoflagellates,,,,,
Benetorus fantasmus,diatoms,,,,,
Dorcadospyris spinosa gorup,radiolarians,,,,,
Caribeanella sp.,benthic foraminifera,,1056.0,Caribeanella,genus,
Toweius fulgidus,nannofossils,,,,,
Asterolampra crenata,diatoms,,,,,
Streptochilus latum,planktic foraminfera,,,,,
Globigerinoides quadrilobatus primordius,planktic foraminfera,,,,,
Morozovella albeari,planktic foraminfera,,,,,
Surirella turgida,diatoms,,,,,
Angulogerina illingi,benthic foraminifera,,,,,
Clinapertina inflata,benthic foraminifera,,,,,
Globigerina obesa,planktic foraminfera,,,,,
Globigerinelloides asperus,planktic foraminfera,,,,,
Pseudoparrella obesa,benthic foraminifera,,,,,
Anomalinoides macroglabra,benthic foraminifera,,,,,
Bolivinopsis trinitatensis,benthic foraminifera,,,,,
Anomalina semicribrata,benthic foraminifera,,,,,
Concris sp.,benthic foraminifera,,,,,
Globorotalia crater,planktic foraminfera,,,,,
Fissurina trigonomarginata,benthic foraminifera,,,,,
Lithomesites clepsammidium,phytoliths,,,,,
Actinomma golownini,radiolarians,,,,,
Cyclopsiella elliptica,dinoflagellates,,,,,
Sphenolithus umbrellus,nannofossils,,,,,
Siphonina pulchra,benthic foraminifera,,,,,
Fraxinus sp.,pollen,,54727.0,Fraxinus,genus,
Ginkgo sp.,pollen,,55067.0,Ginkgo,genus,
Pleurostomella subcylindrica,benthic foraminifera,,,,,
Gyroidina rothwelli,benthic foraminifera,,,,,
Magnolia sp.,pollen,,54614.0,Magnolia,genus,
Cymbella leptoceros,diatoms,,,,,
Biorbulina universa,planktic foraminfera,,,,,
Anomalina alazensis,benthic foraminifera,,,,,
Syracosphaera ribosa,nannofossils,,,,,
Paradentalina sp.,benthic foraminifera,,,,,
Ellipsoglandulina decurta,benthic foraminifera,,,,,
Dictyocha challengeri,silicoflagellates,,,,,
Botryopyle sp.,radiolarians,,439.0,Botryopyle,genus,
Spinidinium aperturum,dinoflagellates,,,,,
Lamprocyclas aegles,radiolarians,,,,,
Cinctactiniscus intermedius,dinoflagellates,,,,,
Coscinodiscus temperei delicata,diatoms,,,,,
Bachmannocena paulschulzii,silicoflagellates,,,,,
Cyclammina trullisata,benthic foraminifera,,,,,
Concavissimisporites punctatus,pollen,,276795.0,Concavissimisporites punctatus,species,
Coccolithus neogammation,nannofossils,,,,,
Watznaueria barnesae,nannofossils,,,,,
Stetsonia sp.(q),benthic foraminifera,,,,,
Stichocorys biconica,radiolarians,,,,,
Eusyringium siphonostoma,radiolarians,,,,,
Carpocanistrum odysseus,radiolarians,,,,,
Valvulineria californica,benthic foraminifera,,,,,
Haeckeliella macrodoras,radiolarians,,,,,
Coscinodiscus marginatus fossilis,diatoms,,,,,
Cyclammina japonica,benthic foraminifera,,,,,
Epithemia sp.,diatoms,,433414.0,Epithemia,genus,
Microfoveolatosporites fromensis,pollen,,,,,
Cibicides umbonatus,benthic foraminifera,,,,,
Catapsydrax dissimilis dissimilis,planktic foraminfera,,,,,
Lophochytris jacchia,radiolarians,,,,,
Dictyocha concinna,silicoflagellates,,,,,
Triceratium alternans,diatoms,,,,,
Karoeroella sp.,benthic foraminifera,,,,,
Nannotetrina acanthodes,nannofossils,,,,,
Zygrhablithus sp.,nannofossils,,87677.0,Zygrhablithus,genus,
Globorotalia margaritae s. l.,planktic foraminfera,,,,,
Rhopalastrum sp.,radiolarians,,285.0,Rhopalastrum,genus,
Globigerina cocaena,planktic foraminfera,,,,,
Pterygocythere latcristata,ostracod,,,,,
Rupertia sp.,benthic foraminifera,,185675.0,Rupertia,genus,
Massilina tenuis,benthic foraminifera,,,,,
Stichopodium sp.(q),radiolarians,,,,,
Globigerina higginsi,planktic foraminfera,,,,,
Globigerina triloculinoides triloculinoides,planktic foraminfera,,,,,
Asterolampra sp.,diatoms,,432982.0,Asterolampra,genus,
Naviculopsis ponticula ponticula,silicoflagellates,,,,,
Hantkenina mexicana aragonensis,planktic foraminfera,,,,,
Globorotalia pasionensis,planktic foraminfera,,,,,
Pleurostomella clavata,benthic foraminifera,,,,,
Nannotetrina pappii,nannofossils,,,,,
Globigerinoides bulloides,planktic foraminfera,,,,,
Dictyocha perlaevis perlaevis,silicoflagellates,,,,,
Paramesocena circulus,silicoflagellates,,,,,
Siphogenerina multicostata,benthic foraminifera,,,,,
Bulimina exilis,benthic foraminifera,,,,,
Dictyococcites dictyodus,nannofossils,,,,,
Haplophragmoides scitulus,benthic foraminifera,,,,,
Lithochytris ventricosa,radiolarians,,,,,
Loxostomum bradyi,benthic foraminifera,,,,,
Globorotalia whitei,planktic foraminfera,,,,,
Spiroplectammina mexiaensis,benthic foraminifera,,,,,
Dictyocha messanensis messanensis messanensis,silicoflagellates,,,,,
Mesocena diodon borderlandensis,silicoflagellates,,,,,
Brigantedinium auranteum,dinoflagellates,,,,,
Globorotalia miozea cibaoensis,planktic foraminfera,,,,,
Stylucyclia sp.,radiolarians,,,,,
Pyrgo vespertilio,benthic foraminifera,,,,,
Rouxia elongata,diatoms,,,,,
Globorotalia soldadoensis,planktic foraminfera,,,,,
Rhabdosphaera inflata,nannofossils,,,,,
Asterolampra hyalinas,diatoms,,,,,
Coronocyclas nitescens,nannofossils,,,,,
Incisoria lanceolata,diatoms,,,,,
Asteromphalus brookei,diatoms,,,,,
Dictyocha fallacea,silicoflagellates,,,,,
Elphidium nitidum,benthic foraminifera,,,,,
Peritivator labyrinthi,radiolarians,,,,,
Koczyia wechesensis,nannofossils,,,,,
Antarctissa capitata,radiolarians,,,,,
Nonion pompilioides,benthic foraminifera,,,,,
Globorotalia scitula sub. sp.,planktic foraminfera,,,,,
Dictyocha epiodon,silicoflagellates,,,,,
Acrocythere sp.(q),ostracod,,,,,
Subbotina inconstans,planktic foraminfera,,,,,
Deltoidospora delicata,pollen,,,,,
Cyclococcolithus neogammation,nannofossils,,,,,
Thalassocythere acanthoderma,ostracod,,,,,
Triceratium balearicum biquadrata,diatoms,,,,,
Chasea magna,diatoms,,,,,
Globotruncana contusa,planktic foraminfera,,,,,
Cyclotella caspia,diatoms,,,,,
Nonion laeve,benthic foraminifera,,,,,
Uvigerina striatissima,benthic foraminifera,,,,,
Coscinodiscus nitidus,diatoms,,,,,
Giraffospyris cyrillium,radiolarians,,,,,
Distephanus parvus,silicoflagellates,,,,,
Globigerapsis semiinvoluta,planktic foraminfera,,,,,
Lithodesmium undulatum,diatoms,,,,,
Cretarhabdus schizobrachiatus,nannofossils,,,,,
Foliactiniscus pyramis,dinoflagellates,,,,,
Paralia sulcata biseriata,diatoms,,,,,
Cupressaceae,pollen,,54792.0,Cupressaceae,family,
Coscinodiscus furcatus,diatoms,,,,,
Thalassiphora delicata,dinoflagellates,,,,,
Tholodiscus splendens,radiolarians,,,,,
Collosphaera polygona,radiolarians,,,,,
Globigerina pseudobulloides,planktic foraminfera,,,,,
Globigerina rubescens rubescens,planktic foraminfera,,,,,
Pelliciera sp.,pollen,,,,,
Arachnodiscus sp.,diatoms,,,,,
Eponides polius,benthic foraminifera,,,,,
Pulleniatina obliquiloculata obliquiloculata,planktic foraminfera,,,,,
Syracosphaera bisecta,nannofossils,,,,,
Globigerina cariacoensis,planktic foraminfera,,,,,
Cyclicargolithus reticulatus,nannofossils,,,,,
Pterotheca carinifera,diatoms,,,,,
Globigerina inequispira,planktic foraminfera,,,,,
Stilostomella acuta,benthic foraminifera,,,,,
Eucyrtidium panthera,radiolarians,,,,,
Buxus sp.,pollen,,,,,
Navicula sp.(q),diatoms,,,,,
Stephanodiscus transylvanicus,diatoms,,,,,
Thalassiosira borealis,diatoms,,,,,
Distephanus stauracanthus,silicoflagellates,,,,,
Globigerina utilisindex,planktic foraminfera,,,,,
Globigerinatheka subconglobata curryi,planktic foraminfera,,,,,
Gephyrocapsa protohuxleyi,nannofossils,,,,,
Cyprideis pannonica,ostracod,,,,,
Camarozonotriletes minoris,pollen,,,,,
Hexacromyum delicatulum,radiolarians,,,,,
Nonionella magnalingua,benthic foraminifera,,,,,
Theocapsomma ornata,radiolarians,,,,,
Axoprunum angelinum,radiolarians,,,,,
Acarinina esnaensis,planktic foraminfera,,,,,
Cannopilus depressus,silicoflagellates,,,,,
Melosira bella,diatoms,,,,,
Juniperus sp.,pollen,,82142.0,Juniperus,genus,
Gaverinopsis avalonensis,benthic foraminifera,,,,,
Rhabdosphaera stylifera,nannofossils,,,,,
Globorotalia obesa,planktic foraminfera,,398745.0,Globorotalia obesa,species,
Elphidium advena ponticum,benthic foraminifera,,,,,
Hystrichosphaera cingulata,dinoflagellates,,,,,
Pseudodimerogramma filiformis,diatoms,,,,,
Stephanodiscus pontica,diatoms,,,,,
Quadrum quadratum,nannofossils,,,,,
Spiniferites sp.,dinoflagellates,,264663.0,Spiniferites,genus,
Gephyrocapsa sp.(q),nannofossils,,,,,
Lentina serrata,dinoflagellates,,,,,
Acarinina mattseensis alticonica,planktic foraminfera,,,,,
Dictyocephalus papillosus,radiolarians,,,,,
Cyclotella sp.,diatoms,,82154.0,Cyclotella,genus,
Lejeunecysta spatiosa,dinoflagellates,,,,,
Crenalithus productellus,nannofossils,,,,,
Globigerinatheka rubriformis,planktic foraminfera,,,,,
Coscinodiscus reniformis,diatoms,,,,,
Gyrosigma kutzingii,diatoms,,,,,
Fursenkoina dibollensis,benthic foraminifera,,,,,
Anomalinoides acuta,benthic foraminifera,,382641.0,Anomalinoides acuta,species,
Cibicides aknerianus,benthic foraminifera,,,,,
Angulogerina kokozuraensis,benthic foraminifera,,,,,
Melosira clavigera,diatoms,,,,,
Catapsydrax unicavus unicavus,planktic foraminfera,,,,,
Rutilaria sp.,diatoms,,71271.0,Rutilaria,genus,
Acanthodiscus convexus,diatoms,,,,,
Turborotalia siakensis,planktic foraminfera,,,,,
Tricolpites sabulosus,pollen,,334946.0,Tricolpites sabulosus,species,
Siphonodosaria paucistriata,benthic foraminifera,,,,,
Astrohiza granulosa,benthic foraminifera,,,,,
Globulina lacrima,benthic foraminifera,,,,,
Plectina sp.,benthic foraminifera,,2152.0,Plectina,genus,
Podosporites microsaccatus,pollen,,277159.0,Podosporites microsaccatus,species,
Cordosphaeridium sp.,dinoflagellates,,323969.0,Cordosphaeridium,genus,
Cyclolithus robustus,nannofossils,,,,,
Spiroplectammina carinata,benthic foraminifera,,402475.0,Spiroplectammina carinata,species,
Cannopilus quintus,silicoflagellates,,,,,
Naviculopsis regularis,silicoflagellates,,,,,
Dictyophimus tetracantha,radiolarians,,,,,
Engelhardtia sp.,pollen,,,,,
Dictyospyris melissium,radiolarians,,,,,
Acarinina mattseensis wartsteinensis,planktic foraminfera,,,,,
Rocella gemma,silicoflagellates,,,,,
Orthomorphina sp.(q),benthic foraminifera,,,,,
Kisseleviella carina,diatoms,,,,,
Lapideacassis cornuta,nannofossils,,88037.0,Lapideacassis cornuta,species,
Rocella vigilans,diatoms,,,,,
Amphibrachium sp.,radiolarians,,13.0,Amphibrachium,genus,
Avicennia sp.,pollen,,,,,
Calciodinellum operosum,dinoflagellates,,406160.0,Calciodinellum operosum,species,
Lamprospyris hookeri,radiolarians,,,,,
Globigerinita pera,planktic foraminfera,,,,,
Truncorotaloides topilensis,planktic foraminfera,,,,,
Cruciferae,pollen,,55652.0,Cruciferae,family,
Calocyclas fragilis,radiolarians,,,,,
Tritaxia amphora,benthic foraminifera,,,,,
Nonionella basiloba,benthic foraminifera,,,,,
Cibicides centralis,benthic foraminifera,,,,,
Chrysalogonium lanceolum,benthic foraminifera,,,,,
Spiniferites membranceous,dinoflagellates,,,,,
Delphineis surirelloides,diatoms,,,,,
Rhaphoneis rhombicus,diatoms,,,,,
Hafkeruva zeacuminata,benthic foraminifera,,,,,
Asterigerinata mamilla,benthic foraminifera,,,,,
Globorotalia topilensis,planktic foraminfera,,,,,
Cylindralithus echinus,nannofossils,,88439.0,Cylindralithus echinus,species,
Globorotalia dolabrata,planktic foraminfera,,,,,
Trinacria subcapitata,diatoms,,,,,
Dictyocha messanensis,silicoflagellates,,,,,
Dictyocha navicula,silicoflagellates,,,,,
Lithosphaeridium siphoniphorum,dinoflagellates,,,,,
Haplophragmoides eggeri,benthic foraminifera,,,,,
Planifolia tribrachiata,dinoflagellates,,,,,
Thalassiosira leptopus elliptica,diatoms,,,,,
Lenticulina subpapillosa,benthic foraminifera,,,,,
Hystrichostrogylon sp.,dinoflagellates,,,,,
Hemiaulus dubius,diatoms,,,,,
Globorotalia truncatulinoides tosaensis,planktic foraminfera,,,,,
Lenticulina cushmanii,benthic foraminifera,,,,,
Coscinodiscus tabularis,diatoms,,,,,
Actinoptychus senarius minor,diatoms,,,,,
Rhopalastrum angulatum,radiolarians,,,,,
Globigerina eocaena,planktic foraminfera,,,,,
Ficus sp.,pollen,,9857.0,Ficus,genus,
Sphenaster metula,nannofossils,,,,,
Corocalyptra craspedota,radiolarians,,,,,
Spongasteriscus sp.,radiolarians,,307.0,Spongasteriscus,genus,
Calocyclas extensa,radiolarians,,,,,
Globorotalia prasaepis,planktic foraminfera,,,,,
Anaulus californicus,diatoms,,,,,
Carpocanopsis cingulatum,radiolarians,,,,,
Bythocypris sp.,ostracod,,23957.0,Bythocypris,genus,
Craspedolithus declivus,nannofossils,,,,,
Naviculopsis trispinosa,silicoflagellates,,,,,
Dimerogramma furcigerum,diatoms,,,,,
Cyclotella praekutzingiana,diatoms,,,,,
Protocystis harstoni,radiolarians,,,,,
Corbisema triacantha triacantha,silicoflagellates,,,,,
Globorotalia guatemalensis,planktic foraminfera,,,,,
Nitzschia californica,diatoms,,,,,
Helicosphaera rhomba,nannofossils,,,,,
Coscinodiscus acculus iridis,diatoms,,,,,
Triceratium sp.(q),diatoms,,,,,
Nitzschia challengeri,diatoms,,,,,
Sethochytris babylonis,radiolarians,,,,,
Clathrocyclas sp.,radiolarians,,465.0,Clathrocyclas,genus,
Uvigerina longa,benthic foraminifera,,,,,
Globigerinita stainforthi praestainforthi,planktic foraminfera,,,,,
Larcospira moschkovskii,radiolarians,,,,,
Anacardiaceae,pollen,,54686.0,Anacardiaceae,family,
Dictyocha aspera martinii,silicoflagellates,,,,,
Karreriella exilis,benthic foraminifera,,,,,
Discosphaera pacifica,nannofossils,,,,,
Cyclolithella kingii,nannofossils,,,,,
Globorotalia collactea,planktic foraminfera,,,,,
Gnetum,pollen,,,,,
Rzehakina epigona epigona,benthic foraminifera,,,,,
Sphaeroidinella seminularia,planktic foraminfera,,,,,
Lithodesmium minusculum,diatoms,,,,,
Xanthiopyxis panduraeformis,diatoms,,,,,
Lamprocyclas rhinoceros,radiolarians,,,,,
Diphyes colligerum,dinoflagellates,,,,,
Lychnocanium hirundo,radiolarians,,,,,
Helicopontosphaera salebrosa,nannofossils,,,,,
Spongoliva ellipsoides,radiolarians,,,,,
Hemiaulus perlatus,diatoms,,,,,
Globigerinoides adriaticus,planktic foraminfera,,,,,
Polypodiaceae,pollen,,54782.0,Polypodiaceae,family,
Neochiastozygus sp.,nannofossils,,87681.0,Neochiastozygus,genus,
Eunotia sibrica,diatoms,,,,,
Coscinodiscus vulinificus,diatoms,,,,,
Callitris,pollen,,190845.0,Callitris,genus,
Mesocena hexalitha,silicoflagellates,,,,,
Mesocena elliptica verrucosa,silicoflagellates,,,,,
Lophophaenoma witjazii,radiolarians,,,,,
Lenticulina arcuatostriata,benthic foraminifera,,,,,
Lychnocanoma nipponica nipponica,radiolarians,,,,,
Bolivina acuminata,benthic foraminifera,,,,,
Distephanus polyactis,silicoflagellates,,,,,
Denticula lauta,diatoms,,,,,
Globigerinita incrusta,planktic foraminfera,,,,,
Cephalotaxus,pollen,,,,,
Nodosarella advena,benthic foraminifera,,,,,
Hexalonche sp.,radiolarians,,155.0,Hexalonche,genus,
Thalassiosira tertiaria,diatoms,,,,,
